title,description,budget,technologies
Saudi Fintech Platform UX Journey Design,"Design comprehensive customer journeys for a Saudi financial platform specializing in stock market data and investment analytics.

What We Need:
-Customer Journey Maps for 3 customer types (Retail, Institutional, Corporate)
-Pain point analysis and optimization opportunities
-Interactive User Flow Diagrams
-Technical requirements for developers
-Conversion rate optimization strategies

 Essential Requirements:

 -Customer Journey Design experience
-Proven financial services background (Banking/Investment/Fintech)
-Expert in Figma, Miro, Lucidchart

-Strong UX Research and data analysis skills
-CRM systems and Analytics tools experience

Preferred Qualifications:
-Investment/trading platform experience
-Middle East market knowledge
-B2B & B2C platform experience
-AI/UX integration knowl...",₹21870 - ₹65611,
B2B Custom Product Showcase Website -- 2,"I'm seeking a skilled web developer to create a custom B2B website designed to effectively showcase our physical products. The primary goal is to present our offerings in a compelling and professional manner to attract potential business clients.

Key Requirements:
- Develop a product catalog with detailed descriptions for each item
- Integrate high-resolution images to enhance product presentation
- Implement a customer reviews section to build trust and credibility
- Ensure the website is user-friendly and easy to navigate
- Responsive design to accommodate various devices and screen sizes

Ideal Skills and Experience:
- Proficiency in web development and design
- Experience with e-commerce platforms and B2B websites
- Strong understanding of UI/UX principles
- Ability to create vis...","₹307935
                                                                    
                                        Avg Bid",
E-book Copywriting for Lead Generation,"I'm looking for a skilled copywriter to create compelling content for my e-book. The primary goal of this e-book is to generate leads. 

Key Requirements:
- Craft engaging and persuasive copy
- Focus on lead generation strategies
- Write for the general public

Ideal Skills & Experience:
- Proven copywriting experience
- Knowledge of lead generation techniques
- Ability to write for a broad audience

I'm looking for high-quality work that will attract and convert potential leads.","₹2974
                                                                    
                                        Avg Bid",
Assistance with Danish Tax Filings and Closing Sole Proprietorship,"I am looking for a freelancer experienced in Danish taxation, specifically someone based in Denmark, to assist me with tax filings and the process of closing down my sole proprietorship. The assistance will be provided via online meetings, where we will go through the steps together. Only serious and qualified professionals should apply.","₹12422
                                                                    
                                        Avg Bid",
Seeking Part Time Tele-Marketers,"Are you a motivated individual with excellent communication skills? We're looking for enthusiastic telemarketers to join our team and help generate leads in the finance industry through follow-up calls. Our office is conveniently located right outside Newton MRT, and we offer a friendly and dynamic working environment with the flexibility to work from home.

Key Job Details:
- Position: Telemarketer
- Working Hours: 4 to 6 hours a day, minimum 3 days a week
- Commitment: At least 3 months
- Hourly Pay: $12-$15
- Start Date: Immediate

Key Requirements:
- Singaporean/PR only
- Minimum A Levels/Diploma certificate
- Excellent communication skills
- Ability to commit to the schedule
- Experience in telemarketing, as leads are expensive

Perks:
- Convenient location near Woodlands MRT
- F...","₹875 / hr
                                                                    
                                        Avg Bid",
Document verification from Association APAS,"1- Task is to visit the  Association APAS  physically and take 10 to 15 geotagged photos of with name board captured and from outside/inside the building. Moreover, you have to made a video from inside if possible, but from outside, you have to make a video while capturing the signboard of the location, and both of its surroundings. Just take a 360 degree view of it in a video.
2- Get the verification form filled, signed and stamped by the Association APAS and also stamp the certificate.
3- Get the details of verifier, Name, Designation, Department and Contact.
4- In case of refusal to fill form, take the written refusal with stamp or sign as a proof.
5- If Association APAS  does not found on given address than take the 7 to 8 geotagged photos of exact address with right left name boards p...","₹3324
                                                                    
                                        Avg Bid",
"In Vivo Efficacy and Toxicity Study (Real , Physical Lab Test No Literature or Simulated Data)","We have discovered a first-in-class small molecule inhibitor targeting GOT1 (Glutamic-Oxaloacetic Transaminase 1), which plays a key role in glutamine metabolism, NADPH homeostasis, and cancer cell survival, especially in pancreatic and colorectal cancers.

We are now seeking a qualified and experienced research partner to conduct a full in vivo proof-of-concept (POC) study, including efficacy and toxicity testing in mice.


Objectives of This Study:

1. Assess the anti-tumor efficacy of our GOT1 inhibitor in a relevant mouse cancer model.


2. Determine toxicity profile — including tolerability, weight change, and basic organ function data.


3. Deliver interpretable, high-quality data that can be included in a pitch to pharmaceutical companies.


 Study Design Requirements:

Animal...","₹12247
                                                                    
                                        Avg Bid",
graphic design / illustration,"I am redesigning a website for a US-based stainless steel fabrication shop, and I need 9-10 total graphics (one for each page).  I'd like to focus on the homepage graphic to start which needs to look like the included concept graphics attached.  This brief focuses on that first deliverable, but for the designer with the winning style, there is a secondary larger second deliverable that's needed.  

The graphic/illustration portrays an industrial worker holding a piece of sheet metal using a propoganda style art that is charactarized by a simple, solid color palette, and bold, simple, designs.  It's focus is to convey the message:  ""We give a sheet!""    The 5 colors we want used are:  #000000, #FFFFFF, #B0B0B0, #EB0000, & #007EA8.  The attached images portray th...","₹1400 / hr
                                                                    
                                        Avg Bid",
Excel Conditional Formatting Assistance,"I need help with advanced conditional formatting in Excel. I am working with data that requires specific formatting conditions. My goal is to show or copy the result of conditional format rules onto a separate sheet.  

Key Requirements:  
- Use Excel for implementing conditional formatting.  
- Ability to show or copy the results of conditional formatting rules to another sheet.  

Ideal Skills and Experience:  
- Proficiency in Excel, particularly in conditional formatting.  
- Experience with advanced Excel functions and formulas.  
- Ability to manipulate and present data effectively within Excel.","₹1662
                                                                    
                                        Avg Bid",
Spreadsheet Database for Machinery Models,"I'm looking for an experienced freelancer to build a spreadsheet-based database for managing product specifications. This database will help generate a standard models list for a machinery builder. The primary focus is on organizing and tracking detailed product specifications.

Key Requirements:
- Develop a comprehensive spreadsheet database for product specifications.
- Track material composition, performance metrics, and the range of specs for materials that can be processed.
- Organize specifications by product type for easy reference and management.
- Ensure the database is user-friendly and allows for efficient data entry and retrieval.

Ideal Skills and Experience:
- Proficiency in spreadsheet software (e.g., Excel, Google Sheets).
- Experience in data management and organizati...","₹437 / hr
                                                                    
                                        Avg Bid",
Wireless Monitoring Module Development,"I am are seeking an experienced PCB design expert to develop schematics and a 4-layer PCB layout for a compact Wireless Data Interface Module (WDIM) for industrial wireless and serial communication. The design must include the SIMCom A7672S module for 4G/2G connectivity, MAX485 for RS485 communication, a USB Type-C port for 5V power and firmware upload, a push-type Nano SIM card slot, and an SMA female connector for the 4G/2G antenna. A few small items, such as a DB9 connector for the RS485 interface, may be added later, with details provided upon freelancer selection. The PCB should feature ESD, overvoltage, and reverse polarity protections, LED indicators (power, network), and 2–4 test points (e.g., VBAT, UART, RS485) for production. We are open to design changes to enhance perform...",₹1502 - ₹12519,
Recreate Pulmonary Function Test (PFT) Report with Custom Data and Graphs (Exact Replica) -- 2,"Project Description:
I need someone to fully recreate a Pulmonary Function Test (PFT) report using my updated data. 

You will be provided:
The original report (PDF format) as a visual and formatting template
My new data to be entered into the tables
Clear instructions for how each graph and section should look

You will need to:
Recreate all tables using my data and match the original layout exactly
Recreate all graphs (Flow-Volume Loop, Volume-Time, Diffusion, etc.) using the values I provide
Ensure the final report looks identical in style to the original (same fonts, spacing, color, formatting)
Provide the final report as a PDF and as an editable file (Word, Illustrator, InDesign, or similar)
Send all graphs separately as PNG or SVG files

Important Instructions Before You Bid:
You mus...","₹10235
                                                                    
                                        Avg Bid",
English Subtitle Specialist for Online Agency,"I'm building a small online agency to provide English subtitle services to clients globally. I'm preparing a team of reliable freelancers to start working as soon as projects come in.

I'm looking for professionals with:

- Experience in creating accurate English subtitles (preferably .srt files)
- Attention to timing and detail
- Consistent ability to meet deadlines
- Openness to long-term collaboration

To apply, please include:

- Relevant experience and any samples or portfolio links
- Typical turnaround time for a 10-minute video
- Your rate per video minute or project
- Confirmation you're willing to work through Freelancer.com

Looking forward to building a great team!","₹962 / hr
                                                                    
                                        Avg Bid",
Logo For Coffee Company,"PLEASE READ THIS BEFORE YOU SUBMIT ANYTHING!

WE DO NOT WANT NOR ACCEPT AI GENERATED IMAGES OR LOGOS! 
DO NOT SUBMIT ANYTHING OTHER THAN PROPER VECTOR ARTWORK WITH CUTLINES AND LAYERS ETC!

YOU WILL BE BLOCKED AND REPORTED IF YOU DO! 
IF I WANTED AI GENERATED IMAGES - I WOULD DO IT MYSELF!

Details:

We require a Logo for our new Coffee Company called "" Black Ops Coffee Co"" 
Black Ops being the main logo.  

It is a Military style brand so be creative, but dont be boring. We want an artwork that is effective but relatable to Black Ops / Special Ops themed. I will pay more for the best logo as there will be ongoing design work needed, so if we select you, you will have ongoing work. Happy to see warfare style designs, Biohazzard, Gas masks etc just be creative do not use all of th...",₹2187,
Native Chinese speaker for Translation Software,"I'm looking for a native Chinese speaker to test a translation software. 

Key Tasks:
- Speak 1 minute (I will give you dialogue) 
- Test text and voice translation features
- Provide feedback on accuracy and usability

Ideal Skills:
- Native proficiency in Chinese
- Fluent in English
- Experience with translation software
- Detail-oriented for accurate feedback","₹2100
                                                                    
                                        Avg Bid",
Photoshop Expert for Product Photo Editing,"I'm looking for a skilled Photoshop expert to assist with editing text. The primary task involves editing text to image. It's important that the edits are seamless and enhance the overall presentation.

Key Requirements:
- Proficiency in Photoshop for image and text editing
- Ability to add text or logos to product photos
- Ensure high-quality and professional-looking results
- Attention to detail and creativity in placement and design

Ideal Skills and Experience:
- Strong background in photo editing and graphic design
- Experience with product photo enhancement
- Creative flair for integrating text/logos into images
- Ability to deliver edits promptly and efficiently

If you have a portfolio showcasing similar work, I would love to see examples of your previous projects.","₹87 / hr
                                                                    
                                        Avg Bid",
Modern Football Kit Design,"I need a creative designer to craft a modern home and away kit for a local football club.

Requirements:
- Home kit should primarily feature purple
- Away kit should primarily feature white
- Designs should be modern and visually appealing

Ideal Skills and Experience:
- Experience in sportswear design
- Strong understanding of modern design aesthetics
- Proficiency in graphic design software
- Creativity and originality in design concepts

Looking forward to your innovative ideas!","₹17759
                                                                    
                                        Avg Bid",
Preclinical Efficacy and Toxicity Studies......2,"We have discovered a first-in-class small molecule inhibitor targeting GOT1 (Glutamic-Oxaloacetic Transaminase 1), which plays a key role in glutamine metabolism, NADPH homeostasis, and cancer cell survival, especially in pancreatic and colorectal cancers.

We are now seeking a qualified and experienced research partner to conduct a full in vivo proof-of-concept (POC) study, including efficacy and toxicity testing in mice.


Objectives of This Study:

1. Assess the anti-tumor efficacy of our GOT1 inhibitor in a relevant mouse cancer model.


2. Determine toxicity profile — including tolerability, weight change, and basic organ function data.


3. Deliver interpretable, high-quality data that can be included in a pitch to pharmaceutical companies.


Study Design Requirements:

Animal ...",₹566 - ₹1697,
Motorcycle Protective Gear Design in CLO3D,"CLO3D Patternmaker & Design – Motorcycle Adventure Pants & Jacket
________________________________________
About Mo’cycle
We are Mo’cycle — the Swedish innovation company behind the world’s first motorcycle airbag jeans, saving 10 people in real-life accidents so far. Our brand has already earned global recognition (Drew Barrymore, FortNine, Jimmy Fallon, European Safety Awards).
Now we’re developing the next evolution: Adventure Airbag Pants and Airbag Jackets — and we’re looking for skilled CLO3D freelancers to support us in the following stages:
________________________________________
What You Will Do (Based on Project Phase)
We are hiring multiple freelancers, prioritized by task order. You may take on one or several stages:
1.	I...","₹1575 / hr
                                                                    
                                        Avg Bid",
Shell and Tube Heat Exchanger CAD,"I am seeking a skilled CAD designer to create a detailed model of a shell and tube heat exchanger for industrial machinery purposes. The design should be precise and suitable for manufacturing specifications.

Key Requirements:
- Develop a comprehensive CAD model of a shell and tube heat exchanger
- Ensure the design meets industry standards for heat exchangers
- Provide detailed schematics and dimensions for manufacturing
- Include material specifications and assembly instructions

Ideal Skills and Experience:
- Proficiency in CAD software (e.g., AutoCAD, SolidWorks)
- Experience in designing industrial machinery components
- Knowledge of heat exchanger design principles
- Strong attention to detail and ability to produce accurate technical drawings

I look forward to collaborating with a...","₹7173
                                                                    
                                        Avg Bid",
Real Estate Meta Optimization Expert,"I am seeking a professional real estate meta expert based in Mumbai to optimize our website's meta elements with a focus on generating leads for residential properties. The goal is to enhance our online presence and attract potential buyers or renters through effective meta optimization.

Key Requirements:
- Expertise in real estate meta optimization
- Proven track record in lead generation for residential properties
- Ability to craft compelling meta descriptions, keywords, and titles
- Familiarity with SEO best practices to improve search engine rankings

Ideal Skills and Experience:
- In-depth knowledge of real estate market dynamics in Mumbai
- Experience in optimizing meta elements specifically for real estate websites
- Strong analytical skills to assess and improve website perf...","₹2887
                                                                    
                                        Avg Bid",
International Market Research for Diamonds,"I am seeking a knowledgeable market researcher to conduct an in-depth analysis of the international market for lab-grown and natural diamonds, with a focus on Vietnam, Thailand, and Malaysia in the Asian region. The goal is to gather valuable insights that will inform our import/export business strategies.

Key Requirements:
- Comprehensive market analysis of lab-grown and natural diamonds in Vietnam, Thailand, and Malaysia
- Identification of key trends, opportunities, and challenges in the diamond market
- Assessment of competitive landscape and potential market entry strategies
- Evaluation of consumer preferences and demand patterns in these regions
- Price on which currently trading B2B (Business-to-Business pricing trends)

Ideal Skills and Experience:
- Proven experience in internat...",₹1502 - ₹12519,
Premium Thank-You Card Illustrator & Designer,"Project Description:

We're Iron Outback Co. — a rugged Australian 4x4, camping, and fabrication brand. We're looking for a talented print designer and illustrator to bring our hand-drawn concept to life as a world-class thank-you card that customers will want to keep.

We already have a rough layout and multiple mockups. Now we want a professionally designed, print-ready card featuring:

Spot UV gloss

Raised logo embossing

Luxury soft-touch matte laminate

Full custom illustration

Clean layout and balanced visual hierarchy



---

Card Specs:

Size: Standard landscape thank-you card (e.g. 6"" x 4"" or similar)

Color: Gunmetal grey background, black logo and artwork

Finishes:

Raised gloss black Iron Outback Co. logo (spot UV or foil)

Matte black background (s...",₹11285,
Short Term Rental Direct Booking Website,"Hello, I am seeking a graphic designer and web developer to build a new direct booking website for my short term rental property. 

I need a new logo and the website built in Wordpress in a modern and minimalist style that integrates with the  booking platform (APIs available). I want it to stand out and make guests want to book with us. Ideally it will be built using a low code Wordpress framework that I can maintain minor edits myself. 

The website should include:

Instant visual impact:
- Professional photos showcasing the property should be present throughout the website

Clear Booking Path:
- Live Availability and Pricing Calendar via  integration
- Booking summary and confirmation
- Ability to take payment (via Stripe) and make bookings via integration with 

Property Details and Am...",₹42540 - ₹85081,
Odoo Custom Module Development,"I need an experienced Odoo developer to create a custom module for Odoo versions 14, 17, and 18. 

Key Requirements:
- Specify the functionality needed (e.g., Inventory management, Sales and CRM, Accounting).
- Integration with existing systems is required.

Ideal Skills and Experience:
- Proficient in Odoo development across multiple versions.
- Strong understanding of Odoo's architecture and module development.
- Experience with system integration.

Please provide your expertise and approach to this task.","₹175 / hr
                                                                    
                                        Avg Bid",
Digital Marketing Expert for YouTube Ads,"I'm looking for a digital marketing expert to help set up and optimize Google AdSense and Meta ads for my YouTube channel, which primarily focuses on entertainment content. My main goal is to maximize ad revenue through effective ad placement and strategy.

Key Requirements:
- Set up Google AdSense and Meta ad accounts from scratch
- Develop a strategy to optimize ad revenue for entertainment content
- Ensure compliance with YouTube's monetization policies
- Provide guidance on best practices for ad placement and targeting

Ideal Skills and Experience:
- Proven experience in digital marketing, specifically with Google AdSense and Meta ads
- Strong understanding of YouTube's monetization and ad policies
- Ability to analyze and optimize ad performance to increase revenue
- Ex...","₹787 / hr
                                                                    
                                        Avg Bid",
Document verification from Ärztekammer Hamburg Deutschland,"1- Task is to visit the  Ärztekammer Hamburg Deutschlandphysically and take 10 to 15 geotagged photos of with name board captured and from outside/inside the building. Moreover, you have to made a video from inside if possible, but from outside, you have to make a video while capturing the signboard of the location, and both of its surroundings. Just take a 360 degree view of it in a video.
2- Get the verification form filled, signed and stamped by the Ärztekammer Hamburg Deutschlandand also stamp the certificate.
3- Get the details of verifier, Name, Designation, Department and Contact.
4- In case of refusal to fill form, take the written refusal with stamp or sign as a proof.
5- If Ärztekammer Hamburg Deutschland, does not found on given address than take the 7 to 8 geotag...","₹3587
                                                                    
                                        Avg Bid",
Dynamic Product Showcase Video Editor,"I'm seeking a talented video editor proficient in Blender to create engaging content for our Instagram page. Your primary responsibility will be to edit short product showcase videos that resonate with our audience and elevate our brand's online presence.

Key Requirements:
- Edit engaging product showcase videos
- Style: Dynamic and energetic
- Use of transitions for visual effects

Ideal Skills and Experience:
- Proficiency in Blender
- Strong video editing skills
- Experience with visual effects and motion graphics
- Understanding of social media trends, especially on Instagram
- Creative mindset and a passion for video editing

If you're interested, please share your portfolio.","₹19246
                                                                    
                                        Avg Bid",
Configure PawaPay payment API for Custom App,"Summary
I'm looking for an experienced developer to help configure and optimize a payment system using the PawaPay API. The project is already in progress and I have the existing source code available.

 Key Tasks:

Payment Notifications
Implement email notifications triggered on both successful payments and canceled transactions.

Facebook Pixel Integration
Configure server-side Facebook Pixel tracking to fire a ""Purchase"" event when a payment is completed.

Long-Term Vision:
This is the first phase of a larger project. The end goal is to integrate additional APIs and develop a full SaaS platform. If we work well together, there will be ongoing opportunities for continued development.

✅ Requirements:
Proven experience with API integrations (especially payment APIs)

Famili...","₹612 / hr
                                                                    
                                        Avg Bid",
Instagram Content Generation Tool Development,"**Project Title:**
Development of an “Instagram Content & Growth Roadmap” Prompt Orchestrator

---

### **Project Overview**

We need an experienced developer to turn our 12-step prompt framework into a reusable, end-to-end system (e.g. a small web app or CLI tool) that:

1. Accepts a single input—an Instagram niche (e.g. “luxury women’s fashion,” “online fitness coaching,” etc.).
2. Automatically runs through each of the 12 detailed ChatGPT prompts in sequence,
3. Captures and persists each step’s output,
4. Compiles the final outputs into a structured, human-readable deliverable (JSON, Markdown report, or simple web page),
5. Allows non-technical users to paste that deliverable directly to their content-production team or automati...","₹787 / hr
                                                                    
                                        Avg Bid",
AI Presentation Tool Integration,"I need an AI writing assistant theme installed and customized. The theme is available here: ().

Customize work - PowerPoint presentation generator using ChatGPT. Users will input their details, and the presentation will be automatically prepared. This feature will be accessible only to premium plan subscribers.","₹25720
                                                                    
                                        Avg Bid",
GIS Support for Mapbox Integration,"We are seeking a reliable partner to provide GIS support on a project-by-project basis. The main task involves uploading GIS data and attribute tables onto an existing custom-styled Mapbox map and applying the existing styling to the new data. The data includes spatial data such as points, lines, and polygons, as well as attribute data like tables and metadata. 

Key Requirements:
- Expertise in handling and uploading spatial and attribute GIS data
- Familiarity with Mapbox and its custom-styled map features
- Ability to ensure data integration without compromising the existing map design
- Testing and checking before publishing.

Ideal Skills and Experience:
- Strong background in GIS and data management
- Proficiency in using Mapbox for map customization and data integration
- Experience...","₹2362 / hr
                                                                    
                                        Avg Bid",
Premium Gelato Consulting Brand Logo,"Logo Design Brief for Premium Gelato Consulting Brand
Project Overview
We are a consulting firm specializing in premium gelato/ice cream production, offering expertise in recipe development, manufacturing technology, marketing, sales, and operations. We are seeking a minimalist, professional, and instantly recognizable logo that reflects the premium quality, creativity, and expertise of our brand.
Project Requirements

Design Style: Minimalist, clean, and modern with a premium and approachable feel.
Brand Values: Quality, expertise, creativity, and innovation in the gelato/ice cream industry.
Visual Inspiration:
Simple, elegant designs (e.g., Apple, Nike) with a focus on clarity and memorability.
Elements that subtly evoke gelato (e.g., soft curves, creamy textures, or a hint of indulgence...",₹19158,
Skilled IT Services Salesperson Needed,"I'm looking for experienced IT services salespeople. I have 15 chats with leads per week in English (and occasionally in Spanish), and I'm looking to close sales. We're a company with over 20 years of experience and clients in India, the USA, Spain, Brazil, and Latin America (we speak Spanish, English, and Portuguese). Projects typically range from USD 3,000 to USD 10,000. I'm offering the following:

+ USD 120 monthly base payment for the leads we provide (usually 3 leads per day, handled via chat).
+ A 5% commission for leads we provide.
+ 10% of the sale value for leads we don't provide (other clients you recruit).
+ Commission payments are made with the client's first cash payment (projects are typically in 3 installments, with the first payment due 3 week...","₹30706
                                                                    
                                        Avg Bid",
Course Sales Booster,"I'm looking for a marketing expert to help drive traffic to my course link and increase sales. The more people I can reach, the better.

Key Requirements:
- Use any marketing strategies (social media, email, SEO)
- Focus on any social media platform (Facebook, Instagram, LinkedIn)
- Create engaging video content for promotion

Ideal Skills:
- Proven track record in digital marketing
- Strong social media presence and engagement
- Video production and editing skills
- Ability to analyze and report on campaign performance

Your expertise can help me reach a wider audience and boost my course sales.","₹2712
                                                                    
                                        Avg Bid",
Auto-Reply Android App Development,"I'm seeking a ready-made Android application that can automatically send SMS or WhatsApp messages when a call is missed or received. 

The app should ideally include the following features (or be customizable to add them later):
- Auto-reply via SMS and/or WhatsApp
- Message triggers for missed or attended calls
- Option to enable/disable auto-reply
- Customizable auto-reply messages
- Option to customize auto-reply messages for different contacts
- Call log with auto-replied records
- Firebase or backend integration for remote message updates (optional)
- Clean UI with Material Design

If you already have such an app or something similar, please share:
- Demo APK or screenshots
- List of features
- Technology stack used
- Pricing (with source code)

I'm open to customization if ...","₹24057
                                                                    
                                        Avg Bid",
Off-Page SEO for WordPress Site,"I'm seeking an experienced SEO specialist to enhance the off-page SEO of my WordPress site with the primary goal of improving search engine rankings, specifically on Google. I am interested in implementing a variety of link-building strategies to achieve this.

Key Requirements:
- Focus on improving Google search engine rankings
- Implement guest blogging, backlink acquisition, and social bookmarking strategies
- Develop a comprehensive off-page SEO plan tailored to my WordPress site
- Monitor and report on the progress and effectiveness of SEO efforts

Ideal Skills and Experience:
- Proven track record in off-page SEO optimization
- Expertise in link-building techniques, including guest blogging and backlink acquisition
- Familiarity with social bookmarking as an SEO strategy
- Stron...","₹9361
                                                                    
                                        Avg Bid",
Recreate Pulmonary Function Test (PFT) Report with Custom Data and Graphs (Exact Replica),"Project Description:
I need a skilled freelancer experienced in medical document design and data visualization to recreate a 4-page Pulmonary Function Test (PFT) report. The goal is to replicate the layout, styling, tables, and graphs from my original PFT PDF report exactly, but with updated values that I will provide.

This is not just a redesign, it must match my original report in appearance, structure, colors, fonts, and formatting, including all medical graphs and tables. The final result should be print-ready, in PDF format, and look identical to the original, but using my new clinical data.

What You’ll Do:

Recreate the document layout (based on the original I will provide)
Replace all numerical data in tables with my updated values
Match fonts, spacing, row heights, table bo...","₹10760
                                                                    
                                        Avg Bid",
